area_type,id,acs_population,count,count_last_60_days,rate,deaths,multipolygon
Census Tract,06075010702,1682,279,7,1658.739596,2,"MULTIPOLYGON (((-122.4129079998043 37.802184000091586, -122.41284899978149 37.8018930001619, -122.41275399989712 37.80143000039425, -122.4126600000589 37.800964999635084, -122.4125300003592 37.80032299970674, -122.41247100033638 37.80003199977705, -122.41241799969089 37.79976500005478, -122.41240800012906 37.79971799968598, -122.41228299976058 37.799095999780604, -122.41209600013025 37.79816500001482, -122.41175499969347 37.79820800019911, -122.41045600004435 37.79837299971422, -122.40987900041551 37.79844200019818, -122.40963900013969 37.79847099973688, -122.4088079995895 37.79857099985179, -122.40794500026152 37.79868699980523, -122.40786900035403 37.79869700026643, -122.40901400009602 37.799489999963555, -122.41020700025285 37.800315000237106, -122.41095399962734 37.800832999843124, -122.41137600020221 37.80112499981897, -122.41254099996712 37.80193100011559, -122.4129079998043 37.802184000091586)))"
Census Tract,06075010800,5013,599,24,1194.893277,3,"MULTIPOLYGON (((-122.41721799981082 37.79847199978303, -122.41712299992645 37.79800399978484, -122.41703000013439 37.79754100001719, -122.41693600029612 37.79707500011119, -122.41693100006557 37.797050999903774, -122.41683900031956 37.796595999605756, -122.41682499967396 37.79652800006721, -122.41681900029658 37.79649899962919, -122.41681400006604 37.79647300022884, -122.4167410002969 37.79610999967679, -122.41670400038925 37.79592500013871, -122.41665299983606 37.795670000070515, -122.4164729996292 37.79477700025842, -122.41629200027558 37.7938919999159, -122.41567399965533 37.79397099996174, -122.41521800021053 37.79402899993846, -122.41464800000517 37.7941100000765, -122.41447600016721 37.79413200019172, -122.41409000035321 37.79418199979949, -122.41301100005757 37.79432099991425, -122.41166299994745 37.79448999961386, -122.41136399964881 37.79452700042077, -122.41147200013268 37.79506099986531, -122.41151700040922 37.79528600034871, -122.41154199976347 37.79540899972562, -122.4116300002243 37.79585100032347, -122.41171899983192 37.79629099992974, -122.41185599985448 37.79697199985799, -122.41186200013118 37.79700100029601, -122.41188300020025 37.797104999696046, -122.41189799999268 37.79717700031836, -122.41191099969285 37.7972449998569, -122.41192999966972 37.79734299987962, -122.41207400001508 37.798057000430276, -122.41209600013025 37.79816500001482, -122.41228299976058 37.799095999780604, -122.41293500015013 37.79901399959647, -122.41393100021543 37.798888000081206, -122.41457300014383 37.79880599989701, -122.41557200034748 37.79868000038175, -122.41583099970086 37.798646999759285, -122.41721799981082 37.79847199978303)))"
Census Tract,06075010901,2130,351,6,1647.887324,1,"MULTIPOLYGON (((-122.42076899988939 37.79993899998493, -122.42088299975063 37.79990200007728, -122.42068899979745 37.79897100031144, -122.42063299991298 37.798693000081926, -122.42050100012102 37.79803300022286, -122.42031699972972 37.79710899988049, -122.42013300023774 37.79620599960725, -122.4201229997766 37.79615700004558, -122.41992799977731 37.79622699967632, -122.41874900026613 37.79638999999855, -122.41848899996734 37.796420999629504, -122.41718700017987 37.79655999974426, -122.41683900031956 37.796595999605756, -122.41693100006557 37.797050999903774, -122.41693600029612 37.79707500011119, -122.41703000013439 37.79754100001719, -122.41712299992645 37.79800399978484, -122.41721799981082 37.79847199978303, -122.41731199964903 37.79894199987342, -122.41734899955662 37.799127000310875, -122.41738799955652 37.799317000079554, -122.4173850003175 37.79941400005612, -122.41749299990198 37.79990600026173, -122.4175869997402 37.800340999637456, -122.41923300010285 37.800133999984155, -122.42030500007564 37.79999800000775, -122.42076899988939 37.79993899998493)))"
Census Tract,06075010902,2448,326,16,1331.699346,4,"MULTIPOLYGON (((-122.42427499969148 37.799472000032836, -122.42425399962235 37.79937800019462, -122.42419999983008 37.79911000042625, -122.4241209997843 37.798719000381595, -122.42410399989961 37.79863300001301, -122.42408199978445 37.7985390001748, -122.42406599994592 37.79844600038268, -122.42394399971579 37.797844999647054, -122.42391400013099 37.79769700001657, -122.42389400010796 37.79760400022451, -122.42387700022334 37.79751000038624, -122.42380499960103 37.79715600024929, -122.42372599955519 37.796766000250784, -122.42370500038544 37.79667799978989, -122.4236889996476 37.79657999976723, -122.42365099969385 37.79639600027525, -122.42361399978626 37.79621299993005, -122.42353899992486 37.79583799972397, -122.42348099994814 37.79573899965516, -122.42330399987964 37.795751000208554, -122.4217680000931 37.79594500016168, -122.42159900039354 37.79595999995411, -122.42088199970448 37.79602500025362, -122.4201229997766 37.79615700004558, -122.42013300023774 37.79620599960725, -122.42031699972972 37.79710899988049, -122.42050100012102 37.79803300022286, -122.42063299991298 37.798693000081926, -122.42068899979745 37.79897100031144, -122.42088299975063 37.79990200007728, -122.42252499992878 37.79969400037788, -122.42408700001499 37.799495000194156, -122.42427499969148 37.799472000032836)))"
Census Tract,06075011001,2796,443,8,1584.406295,1,"MULTIPOLYGON (((-122.42314299964966 37.79392300044617, -122.42313300008783 37.79382899970864, -122.42299299992698 37.79312999984967, -122.422972999904 37.79303700005755, -122.42295499997323 37.792944000265436, -122.42281599985847 37.79225499996835, -122.42280100006604 37.79216100013008, -122.4225839999516 37.79218899962268, -122.4210530003956 37.79238299957581, -122.4194019998024 37.79259300026678, -122.41885999998897 37.79266299989757, -122.41775899957815 37.79280400010458, -122.41644300004441 37.79297199975804, -122.41611300011482 37.79301399989623, -122.41629200027558 37.7938919999159, -122.4164729996292 37.79477700025842, -122.4169530001808 37.79471600014335, -122.4175200002478 37.79464300037421, -122.41811199966901 37.79456699956745, -122.41892700038073 37.79446100007516, -122.41975299980106 37.79435399963745, -122.42140400039426 37.794143999845744, -122.422972999904 37.79394399961592, -122.42314299964966 37.79392300044617)))"
Census Tract,06075011002,2266,376,15,1659.311562,1,"MULTIPOLYGON (((-122.42330399987964 37.795751000208554, -122.42348099994814 37.79573899965516, -122.42328299981057 37.79480999998157, -122.42314299964966 37.79392300044617, -122.422972999904 37.79394399961592, -122.42140400039426 37.794143999845744, -122.41975299980106 37.79435399963745, -122.41892700038073 37.79446100007516, -122.41811199966901 37.79456699956745, -122.4175200002478 37.79464300037421, -122.4169530001808 37.79471600014335, -122.4164729996292 37.79477700025842, -122.41665299983606 37.795670000070515, -122.41670400038925 37.79592500013871, -122.4167410002969 37.79610999967679, -122.41681400006604 37.79647300022884, -122.41681900029658 37.79649899962919, -122.41682499967396 37.79652800006721, -122.41683900031956 37.796595999605756, -122.41718700017987 37.79655999974426, -122.41848899996734 37.796420999629504, -122.41874900026613 37.79638999999855, -122.41992799977731 37.79622699967632, -122.4201229997766 37.79615700004558, -122.42088199970448 37.79602500025362, -122.42159900039354 37.79595999995411, -122.4217680000931 37.79594500016168, -122.42330399987964 37.795751000208554)))"
Census Tract,06075011101,2728,504,13,1847.507331,2,"MULTIPOLYGON (((-122.42280100006604 37.79216100013008, -122.42277799990472 37.79206800033802, -122.42263599965162 37.79136899957973, -122.42261100029737 37.79127699983371, -122.42259899974403 37.7911829999955, -122.42245500029799 37.79047199958319, -122.42241999958327 37.79035799972195, -122.42220400041424 37.79038500006777, -122.42068699970525 37.790577999974744, -122.41903600001137 37.79078799976645, -122.41739099969487 37.79097300020385, -122.41650900039002 37.79109799967301, -122.41610000041464 37.79115599964973, -122.41574999956282 37.79120600015682, -122.41581800000068 37.79154200036305, -122.4158840003463 37.79187200029264, -122.41593600004632 37.792132999738214, -122.41611300011482 37.79301399989623, -122.41644300004441 37.79297199975804, -122.41775899957815 37.79280400010458, -122.41885999998897 37.79266299989757, -122.4194019998024 37.79259300026678, -122.4210530003956 37.79238299957581, -122.4225839999516 37.79218899962268, -122.42280100006604 37.79216100013008)))"
Census Tract,06075011102,2141,440,15,2055.114433,13,"MULTIPOLYGON (((-122.42241999958327 37.79035799972195, -122.42240799992925 37.790240999722414, -122.42225700016041 37.78949200025568, -122.42223700013739 37.78939899956424, -122.42221900020667 37.789305999772125, -122.42214500039142 37.78894300011939, -122.42207699995356 37.7884740000751, -122.42184600009278 37.7885029996138, -122.4203070001679 37.788698999659175, -122.4186559995747 37.78891000039624, -122.41764599976307 37.789032999773156, -122.41701700043421 37.78910999972675, -122.4163140003908 37.78919900023374, -122.41618499983787 37.78921600011836, -122.41601199995381 37.78923800023358, -122.41576400020841 37.78926999991063, -122.41537200011766 37.78932000041772, -122.41555899974799 37.79025400032191, -122.4156710004163 37.79081199997387, -122.41574999956282 37.79120600015682, -122.41610000041464 37.79115599964973, -122.41650900039002 37.79109799967301, -122.41739099969487 37.79097300020385, -122.41903600001137 37.79078799976645, -122.42068699970525 37.790577999974744, -122.42220400041424 37.79038500006777, -122.42241999958327 37.79035799972195)))"
Census Tract,06075011200,3298,440,24,1334.141904,3,"MULTIPOLYGON (((-122.41629200027558 37.7938919999159, -122.41611300011482 37.79301399989623, -122.41593600004632 37.792132999738214, -122.4158840003463 37.79187200029264, -122.41581800000068 37.79154200036305, -122.41574999956282 37.79120600015682, -122.41410700023783 37.79141599994847, -122.41246099987524 37.791626999786274, -122.41171200040844 37.791721999670585, -122.41110200015714 37.79179899962418, -122.41081799965093 37.79183500038499, -122.4091710001415 37.79204300008445, -122.40925799965692 37.79246899994445, -122.40936099991018 37.79297099971194, -122.40948800037091 37.79355599970967, -122.40953599988643 37.79377700000862, -122.40954100011703 37.79385199986996, -122.40972200036998 37.79473700021242, -122.41007300036864 37.79468999984368, -122.41053800022848 37.79463099982081, -122.41136399964881 37.79452700042077, -122.41166299994745 37.79448999961386, -122.41301100005757 37.79432099991425, -122.41409000035321 37.79418199979949, -122.41447600016721 37.79413200019172, -122.41464800000517 37.7941100000765, -122.41521800021053 37.79402899993846, -122.41567399965533 37.79397099996174, -122.41629200027558 37.7938919999159)))"
Census Tract,06075011300,2920,439,25,1503.424658,12,"MULTIPOLYGON (((-122.41171899983192 37.79629099992974, -122.4116300002243 37.79585100032347, -122.41154199976347 37.79540899972562, -122.41151700040922 37.79528600034871, -122.41147200013268 37.79506099986531, -122.41136399964881 37.79452700042077, -122.41053800022848 37.79463099982081, -122.41007300036864 37.79468999984368, -122.40972200036998 37.79473700021242, -122.40954100011703 37.79385199986996, -122.40953599988643 37.79377700000862, -122.40948800037091 37.79355599970967, -122.40936099991018 37.79297099971194, -122.40925799965692 37.79246899994445, -122.4091710001415 37.79204300008445, -122.40886400037328 37.79207999999204, -122.40836399979872 37.79214100010711, -122.40808899970756 37.792179000060855, -122.40753600028614 37.79224899969165, -122.40764499991678 37.79277699975876, -122.40772700010092 37.79317800026456, -122.40790300012333 37.794059999569356, -122.40807900014573 37.79494099972743, -122.40825300007589 37.79582399997764, -122.40843100019049 37.79670400008956, -122.40875399979723 37.79666199995137, -122.40884899968154 37.79665000029735, -122.40925100023344 37.796598999744106, -122.41007599960767 37.796493000251814, -122.41051099988272 37.79644299974467, -122.4108920003655 37.796395000229154, -122.41171899983192 37.79629099992974)))"
Census Tract,06075011700,1727,503,20,2912.565142,2,"MULTIPOLYGON (((-122.4087860003736 37.790159999584375, -122.40872300016628 37.78985299981616, -122.40869299968216 37.789709000370124, -122.4085949996595 37.789225999680184, -122.40840199975247 37.78829299982215, -122.40822699977616 37.787358999917956, -122.40803599996138 37.786410000221395, -122.40785299961618 37.78549200015573, -122.4076979996629 37.784698999559225, -122.40745099996366 37.784603999674914, -122.40629100042929 37.78550799999425, -122.40606199976145 37.78575699978575, -122.40474300008935 37.786778000104675, -122.40345600009431 37.78777600026223, -122.40291400028087 37.788111999569196, -122.40280699984311 37.78819699989168, -122.402065999846 37.7887209997744, -122.40197400009998 37.78883499963558, -122.40193900028459 37.788877999819874, -122.40174899961659 37.78902899958871, -122.40152800021701 37.789204999611115, -122.40147899975602 37.78924399961096, -122.40140199980243 37.7892970002564, -122.40134800001016 37.78934799991032, -122.40015199971498 37.790290000183404, -122.39989599960069 37.79049299965226, -122.39950499955603 37.79080499965107, -122.39925499971844 37.79099700041127, -122.39919499964947 37.791057999627014, -122.39912299992648 37.79110099981136, -122.39836900022914 37.79169500022414, -122.39830199983737 37.79174599987806, -122.39823500034498 37.791799999670275, -122.39749000016332 37.79238699976031, -122.39742800000215 37.79244199959868, -122.39735900041751 37.792490000013515, -122.39661200014365 37.793079000195746, -122.39654599979804 37.79312699971132, -122.39631499993726 37.79333700040229, -122.3963899997986 37.79366400019353, -122.39658599984398 37.79458799963652, -122.39779599988543 37.794433999729335, -122.39897000006539 37.794284000006655, -122.40014899957663 37.79413400028392, -122.40131500028701 37.79398699980027, -122.40215999968422 37.79388000026188, -122.40295699956584 37.79378000014697, -122.40401599983846 37.793646000262754, -122.40461300038965 37.793565000124715, -122.40441800039036 37.792638999690155, -122.40565399983217 37.79248699987522, -122.40593800033844 37.79245100001367, -122.40671800033539 37.79235199994491, -122.40751300012482 37.79225199983, -122.40753600028614 37.79224899969165, -122.40741700019436 37.79166799987837, -122.40734000024077 37.791295999810586, -122.40720899959564 37.790658000066685, -122.40714900042599 37.7903660000909, -122.40750000042465 37.79032199986045, -122.40786900035403 37.790275000391034, -122.40796999961577 37.79026299983764, -122.4087860003736 37.790159999584375)))"
