Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00002_001,SE_A00002_002,SE_A00002_003
6075011800,"Census Tract 118, San Francisco County, California",ACSSF,ca,140,0,9896,,,,,6,75,,,11800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075011800,Census Tract 118,,,,1658,75917.55,0.021839483
6075011901,"Census Tract 119.01, San Francisco County, California",ACSSF,ca,140,0,9897,,,,,6,75,,,11901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075011901,Census Tract 119.01,,,,2298,95543.59,0.024051849
6075011902,"Census Tract 119.02, San Francisco County, California",ACSSF,ca,140,0,9898,,,,,6,75,,,11902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075011902,Census Tract 119.02,,,,2771,77126.55,0.035927966
6075012001,"Census Tract 120.01, San Francisco County, California",ACSSF,ca,140,0,9899,,,,,6,75,,,12001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075012001,Census Tract 120.01,,,,1834,75490.89,0.024294321
6075012002,"Census Tract 120.02, San Francisco County, California",ACSSF,ca,140,0,9900,,,,,6,75,,,12002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075012002,Census Tract 120.02,,,,2202,91533.11,0.024056868
6075012100,"Census Tract 121, San Francisco County, California",ACSSF,ca,140,0,9901,,,,,6,75,,,12100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075012100,Census Tract 121,,,,3846,80725.91,0.047642692
6075012202,"Census Tract 122.02, San Francisco County, California",ACSSF,ca,140,0,9902,,,,,6,75,,,12202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075012202,Census Tract 122.02,,,,2821,77164.88,0.036558084
6075012203,"Census Tract 122.03, San Francisco County, California",ACSSF,ca,140,0,9903,,,,,6,75,,,12203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075012203,Census Tract 122.03,,,,1834,103297.6,0.017754522
6075012204,"Census Tract 122.04, San Francisco County, California",ACSSF,ca,140,0,9904,,,,,6,75,,,12204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075012204,Census Tract 122.04,,,,2763,155348.7,0.017785797
6075012301,"Census Tract 123.01, San Francisco County, California",ACSSF,ca,140,0,9905,,,,,6,75,,,12301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075012301,Census Tract 123.01,,,,1887,53039.89,0.035576999
6075012302,"Census Tract 123.02, San Francisco County, California",ACSSF,ca,140,0,9906,,,,,6,75,,,12302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075012302,Census Tract 123.02,,,,2600,72679.45,0.035773525
6075012403,"Census Tract 124.03, San Francisco County, California",ACSSF,ca,140,0,9907,,,,,6,75,,,12403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075012403,Census Tract 124.03,,,,2591,145902.9,0.017758383
