Census Tract,Total Population,ZIP,Longitude,Latitude,Poverty,Poverty Pctl
6075025401,3775,94110,-122.4224695,37.7396295,20.4,35.15
6075011000,5127,94109,-122.4198054,37.7943823,17,27.05
6075040200,5600,94118,-122.4683889,37.7843252,16.4,25.43
6075047901,7589,94121,-122.5098633,37.7824907,17.1,27.35
6075032602,4753,94122,-122.4825954,37.7589003,18,29.46
6075025300,4454,94110,-122.4201527,37.7437059,14.1,19.89
6075035300,7487,94116,-122.4978433,37.7425001,20.7,35.75
6075010300,4359,94133,-122.4156811,37.8016201,16.1,24.72
6075016300,4658,94102,-122.4295509,37.7760456,14,19.60
6075026003,5126,94112,-122.4287994,37.7196247,12.1,14.79
6075026302,5255,94112,-122.4307918,37.7116589,20.2,34.70
6075015900,4832,94115,-122.4293428,37.78334,27.7,50.01
6075022600,3213,94107,-122.3835595,37.762479,6.4,3.18
6075015300,2289,94115,-122.4393346,37.7867618,8.2,6.48
6075022704,3367,94107,-122.4019893,37.7609519,12.9,16.82
6075010400,4536,94133,-122.4075581,37.8022725,13.2,17.71
6075022702,2298,94107,-122.3956056,37.7625436,7.3,4.72
6075035400,7342,94116,-122.5072276,37.7421024,15,22.01
6075015500,3551,94115,-122.434135,37.7850923,23.4,41.48
6075042800,2507,94121,-122.4885865,37.7880433,5.4,1.98
6075011902,2712,94108,-122.4098067,37.7909959,18,29.46
6075026303,4822,94112,-122.4434663,37.7096646,18,29.46
6075016500,5267,94117,-122.4477884,37.7741958,18.8,31.55
6075026002,3644,94112,-122.4262823,37.7261197,20.1,34.48
6075035202,5244,94122,-122.5061466,37.7613974,20.6,35.57
6075032601,5211,94122,-122.4807924,37.7624848,18.4,30.46
6075047600,5670,94118,-122.475543,37.7767698,12,14.66
6075035201,5704,94122,-122.5104339,37.7566148,18.9,31.73
6075015700,8904,94118,-122.4480069,37.7789154,18.7,31.26
6075045100,5126,94118,-122.4613476,37.777583,13.3,17.89
6075032902,4457,94122,-122.4906443,37.7526805,17.3,27.85
6075030201,4529,94122,-122.4737784,37.7628146,10.9,12.16
6075040100,4560,94118,-122.4618142,37.7851543,15,22.01
