FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_GEOID,Geo_NAME,Geo_BTTR,Total,No Health Insurance,With Health Insurance,Public Health Insurance,Private Health Insurance,Percent No Health Insurance,Percent With Health Insurance,Percent Public Health Insurance,Percent Private Health Insurance
06075012302,"Census Tract 123.02, San Francisco County, California",ACSSF,ca,140,0,9906,6,75,12302,14000US06075012302,Census Tract 123.02,,2600,134,2466,904,1663,5.15,94.85,34.77,63.96
06075012403,"Census Tract 124.03, San Francisco County, California",ACSSF,ca,140,0,9907,6,75,12403,14000US06075012403,Census Tract 124.03,,2591,45,2546,1669,1025,1.74,98.26,64.42,39.56
06075012404,"Census Tract 124.04, San Francisco County, California",ACSSF,ca,140,0,9908,6,75,12404,14000US06075012404,Census Tract 124.04,,2566,74,2492,1522,1153,2.88,97.12,59.31,44.93
06075012405,"Census Tract 124.05, San Francisco County, California",ACSSF,ca,140,0,9909,6,75,12405,14000US06075012405,Census Tract 124.05,,3817,168,3649,1096,2792,4.4,95.6,28.71,73.15
06075012406,"Census Tract 124.06, San Francisco County, California",ACSSF,ca,140,0,9910,6,75,12406,14000US06075012406,Census Tract 124.06,,1463,10,1453,801,747,0.68,99.32,54.75,51.06
06075012502,"Census Tract 125.02, San Francisco County, California",ACSSF,ca,140,0,9911,6,75,12502,14000US06075012502,Census Tract 125.02,,4188,452,3736,2843,1265,10.79,89.21,67.88,30.21
06075012503,"Census Tract 125.03, San Francisco County, California",ACSSF,ca,140,0,9912,6,75,12503,14000US06075012503,Census Tract 125.03,,3788,311,3477,2497,1303,8.21,91.79,65.92,34.4
06075012504,"Census Tract 125.04, San Francisco County, California",ACSSF,ca,140,0,9913,6,75,12504,14000US06075012504,Census Tract 125.04,,617,0,617,480,183,0,100,77.8,29.66
06075012601,"Census Tract 126.01, San Francisco County, California",ACSSF,ca,140,0,9914,6,75,12601,14000US06075012601,Census Tract 126.01,,2241,0,2241,227,2149,0,100,10.13,95.89
06075012602,"Census Tract 126.02, San Francisco County, California",ACSSF,ca,140,0,9915,6,75,12602,14000US06075012602,Census Tract 126.02,,2977,77,2900,449,2648,2.59,97.41,15.08,88.95
06075012700,"Census Tract 127, San Francisco County, California",ACSSF,ca,140,0,9916,6,75,12700,14000US06075012700,Census Tract 127,,4031,164,3867,720,3637,4.07,95.93,17.86,90.23
06075012801,"Census Tract 128.01, San Francisco County, California",ACSSF,ca,140,0,9917,6,75,12801,14000US06075012801,Census Tract 128.01,,2791,28,2763,512,2579,1,99,18.34,92.4
06075012802,"Census Tract 128.02, San Francisco County, California",ACSSF,ca,140,0,9918,6,75,12802,14000US06075012802,Census Tract 128.02,,2012,7,2005,232,1896,0.35,99.65,11.53,94.23
06075012901,"Census Tract 129.01, San Francisco County, California",ACSSF,ca,140,0,9919,6,75,12901,14000US06075012901,Census Tract 129.01,,2813,12,2801,337,2659,0.43,99.57,11.98,94.53
06075012902,"Census Tract 129.02, San Francisco County, California",ACSSF,ca,140,0,9920,6,75,12902,14000US06075012902,Census Tract 129.02,,3526,31,3495,507,3308,0.88,99.12,14.38,93.82
06075013001,"Census Tract 130.01, San Francisco County, California",ACSSF,ca,140,0,9921,6,75,13001,14000US06075013001,Census Tract 130.01,,1758,32,1726,213,1679,1.82,98.18,12.12,95.51
06075013002,"Census Tract 130.02, San Francisco County, California",ACSSF,ca,140,0,9922,6,75,13002,14000US06075013002,Census Tract 130.02,,2800,0,2800,161,2786,0,100,5.75,99.5
06075013101,"Census Tract 131.01, San Francisco County, California",ACSSF,ca,140,0,9923,6,75,13101,14000US06075013101,Census Tract 131.01,,4071,131,3940,665,3596,3.22,96.78,16.34,88.33
06075013102,"Census Tract 131.02, San Francisco County, California",ACSSF,ca,140,0,9924,6,75,13102,14000US06075013102,Census Tract 131.02,,2951,48,2903,537,2628,1.63,98.37,18.2,89.05
06075013200,"Census Tract 132, San Francisco County, California",ACSSF,ca,140,0,9925,6,75,13200,14000US06075013200,Census Tract 132,,4456,1,4455,1140,3929,0.02,99.98,25.58,88.17
06075013300,"Census Tract 133, San Francisco County, California",ACSSF,ca,140,0,9926,6,75,13300,14000US06075013300,Census Tract 133,,4456,41,4415,1266,3611,0.92,99.08,28.41,81.04
06075013401,"Census Tract 134.01, San Francisco County, California",ACSSF,ca,140,0,9927,6,75,13401,14000US06075013401,Census Tract 134.01,,1431,20,1411,224,1300,1.4,98.6,15.65,90.85
06075013402,"Census Tract 134.02, San Francisco County, California",ACSSF,ca,140,0,9928,6,75,13402,14000US06075013402,Census Tract 134.02,,2239,0,2239,546,2013,0,100,24.39,89.91
06075013500,"Census Tract 135, San Francisco County, California",ACSSF,ca,140,0,9929,6,75,13500,14000US06075013500,Census Tract 135,,2438,82,2356,457,2106,3.36,96.64,18.74,86.38
06075015100,"Census Tract 151, San Francisco County, California",ACSSF,ca,140,0,9930,6,75,15100,14000US06075015100,Census Tract 151,,2799,30,2769,759,2370,1.07,98.93,27.12,84.67
06075015201,"Census Tract 152.01, San Francisco County, California",ACSSF,ca,140,0,9931,6,75,15201,14000US06075015201,Census Tract 152.01,,1713,143,1570,575,1103,8.35,91.65,33.57,64.39
06075015202,"Census Tract 152.02, San Francisco County, California",ACSSF,ca,140,0,9932,6,75,15202,14000US06075015202,Census Tract 152.02,,2195,149,2046,451,1779,6.79,93.21,20.55,81.05
06075015300,"Census Tract 153, San Francisco County, California",ACSSF,ca,140,0,9933,6,75,15300,14000US06075015300,Census Tract 153,,2099,47,2052,367,1892,2.24,97.76,17.48,90.14
06075015401,"Census Tract 154.01, San Francisco County, California",ACSSF,ca,140,0,9934,6,75,15401,14000US06075015401,Census Tract 154.01,,3342,121,3221,700,2877,3.62,96.38,20.95,86.09
06075015402,"Census Tract 154.02, San Francisco County, California",ACSSF,ca,140,0,9935,6,75,15402,14000US06075015402,Census Tract 154.02,,2643,23,2620,315,2503,0.87,99.13,11.92,94.7
06075015500,"Census Tract 155, San Francisco County, California",ACSSF,ca,140,0,9936,6,75,15500,14000US06075015500,Census Tract 155,,3627,55,3572,1623,2611,1.52,98.48,44.75,71.99
06075015600,"Census Tract 156, San Francisco County, California",ACSSF,ca,140,0,9937,6,75,15600,14000US06075015600,Census Tract 156,,2923,13,2910,1090,2343,0.44,99.56,37.29,80.16
06075015701,"Census Tract 157.01, San Francisco County, California",ACSSF,ca,140,0,9938,6,75,15701,14000US06075015701,Census Tract 157.01,,5327,302,5025,575,4581,5.67,94.33,10.79,86
06075015702,"Census Tract 157.02, San Francisco County, California",ACSSF,ca,140,0,9939,6,75,15702,14000US06075015702,Census Tract 157.02,,3420,155,3265,390,3200,4.53,95.47,11.4,93.57
06075015801,"Census Tract 158.01, San Francisco County, California",ACSSF,ca,140,0,9940,6,75,15801,14000US06075015801,Census Tract 158.01,,3399,201,3198,1352,2230,5.91,94.09,39.78,65.61
06075015802,"Census Tract 158.02, San Francisco County, California",ACSSF,ca,140,0,9941,6,75,15802,14000US06075015802,Census Tract 158.02,,3562,144,3418,615,3042,4.04,95.96,17.27,85.4
06075015900,"Census Tract 159, San Francisco County, California",ACSSF,ca,140,0,9942,6,75,15900,14000US06075015900,Census Tract 159,,4761,311,4450,1858,3103,6.53,93.47,39.03,65.18
06075016000,"Census Tract 160, San Francisco County, California",ACSSF,ca,140,0,9943,6,75,16000,14000US06075016000,Census Tract 160,,2498,69,2429,837,1855,2.76,97.24,33.51,74.26
06075016101,"Census Tract 161.01, San Francisco County, California",ACSSF,ca,140,0,9944,6,75,16101,14000US06075016101,Census Tract 161.01,,2295,118,2177,1199,1173,5.14,94.86,52.24,51.11
06075016102,"Census Tract 161.02, San Francisco County, California",ACSSF,ca,140,0,9945,6,75,16102,14000US06075016102,Census Tract 161.02,,2555,293,2262,1411,1213,11.47,88.53,55.23,47.48
06075016200,"Census Tract 162, San Francisco County, California",ACSSF,ca,140,0,9946,6,75,16200,14000US06075016200,Census Tract 162,,3365,97,3268,784,2587,2.88,97.12,23.3,76.88
06075016300,"Census Tract 163, San Francisco County, California",ACSSF,ca,140,0,9947,6,75,16300,14000US06075016300,Census Tract 163,,4423,141,4282,953,3612,3.19,96.81,21.55,81.66
