FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_GEOID,Geo_NAME,Geo_BTTR,Total,No Health Insurance,With Health Insurance,Public Health Insurance,Private Health Insurance,Percent No Health Insurance,Percent With Health Insurance,Percent Public Health Insurance,Percent Private Health Insurance
06075025200,"Census Tract 252, San Francisco County, California",ACSSF,ca,140,0,10009,6,75,25200,14000US06075025200,Census Tract 252,,5505,65,5440,1608,4472,1.18,98.82,29.21,81.24
06075025300,"Census Tract 253, San Francisco County, California",ACSSF,ca,140,0,10010,6,75,25300,14000US06075025300,Census Tract 253,,4404,157,4247,1045,3614,3.56,96.44,23.73,82.06
06075025401,"Census Tract 254.01, San Francisco County, California",ACSSF,ca,140,0,10011,6,75,25401,14000US06075025401,Census Tract 254.01,,3781,80,3701,737,3131,2.12,97.88,19.49,82.81
06075025402,"Census Tract 254.02, San Francisco County, California",ACSSF,ca,140,0,10012,6,75,25402,14000US06075025402,Census Tract 254.02,,3522,210,3312,1207,2607,5.96,94.04,34.27,74.02
06075025403,"Census Tract 254.03, San Francisco County, California",ACSSF,ca,140,0,10013,6,75,25403,14000US06075025403,Census Tract 254.03,,4692,315,4377,1323,3309,6.71,93.29,28.2,70.52
06075025501,"Census Tract 255.01, San Francisco County, California",ACSSF,ca,140,0,10014,6,75,25501,14000US06075025501,Census Tract 255.01,,4435,123,4312,1399,3220,2.77,97.23,31.54,72.6
06075025502,"Census Tract 255.02, San Francisco County, California",ACSSF,ca,140,0,10015,6,75,25502,14000US06075025502,Census Tract 255.02,,4428,87,4341,1340,3338,1.96,98.04,30.26,75.38
06075025600,"Census Tract 256, San Francisco County, California",ACSSF,ca,140,0,10016,6,75,25600,14000US06075025600,Census Tract 256,,5158,447,4711,2077,3408,8.67,91.33,40.27,66.07
06075025701,"Census Tract 257.01, San Francisco County, California",ACSSF,ca,140,0,10017,6,75,25701,14000US06075025701,Census Tract 257.01,,5424,343,5081,1280,4208,6.32,93.68,23.6,77.58
06075025702,"Census Tract 257.02, San Francisco County, California",ACSSF,ca,140,0,10018,6,75,25702,14000US06075025702,Census Tract 257.02,,3974,47,3927,1642,2769,1.18,98.82,41.32,69.68
06075025800,"Census Tract 258, San Francisco County, California",ACSSF,ca,140,0,10019,6,75,25800,14000US06075025800,Census Tract 258,,2153,79,2074,818,1422,3.67,96.33,37.99,66.05
06075025900,"Census Tract 259, San Francisco County, California",ACSSF,ca,140,0,10020,6,75,25900,14000US06075025900,Census Tract 259,,4409,141,4268,1314,3543,3.2,96.8,29.8,80.36
06075026001,"Census Tract 260.01, San Francisco County, California",ACSSF,ca,140,0,10021,6,75,26001,14000US06075026001,Census Tract 260.01,,6463,412,6051,2217,4497,6.37,93.63,34.3,69.58
06075026002,"Census Tract 260.02, San Francisco County, California",ACSSF,ca,140,0,10022,6,75,26002,14000US06075026002,Census Tract 260.02,,3306,110,3196,1167,2450,3.33,96.67,35.3,74.11
06075026003,"Census Tract 260.03, San Francisco County, California",ACSSF,ca,140,0,10023,6,75,26003,14000US06075026003,Census Tract 260.03,,5085,475,4610,1726,3346,9.34,90.66,33.94,65.8
06075026004,"Census Tract 260.04, San Francisco County, California",ACSSF,ca,140,0,10024,6,75,26004,14000US06075026004,Census Tract 260.04,,4107,167,3940,1482,2832,4.07,95.93,36.08,68.96
06075026100,"Census Tract 261, San Francisco County, California",ACSSF,ca,140,0,10025,6,75,26100,14000US06075026100,Census Tract 261,,7566,660,6906,2361,5053,8.72,91.28,31.21,66.79
06075026201,"Census Tract 262.01, San Francisco County, California",ACSSF,ca,140,0,10026,6,75,26201,14000US06075026201,Census Tract 262.01,,3817,150,3667,1648,2468,3.93,96.07,43.18,64.66
06075026202,"Census Tract 262.02, San Francisco County, California",ACSSF,ca,140,0,10027,6,75,26202,14000US06075026202,Census Tract 262.02,,3839,164,3675,1579,2318,4.27,95.73,41.13,60.38
06075026301,"Census Tract 263.01, San Francisco County, California",ACSSF,ca,140,0,10028,6,75,26301,14000US06075026301,Census Tract 263.01,,5715,326,5389,2918,3131,5.7,94.3,51.06,54.79
06075026302,"Census Tract 263.02, San Francisco County, California",ACSSF,ca,140,0,10029,6,75,26302,14000US06075026302,Census Tract 263.02,,5142,167,4975,2111,3449,3.25,96.75,41.05,67.08
06075026303,"Census Tract 263.03, San Francisco County, California",ACSSF,ca,140,0,10030,6,75,26303,14000US06075026303,Census Tract 263.03,,4746,187,4559,1331,3867,3.94,96.06,28.04,81.48
06075026401,"Census Tract 264.01, San Francisco County, California",ACSSF,ca,140,0,10031,6,75,26401,14000US06075026401,Census Tract 264.01,,3444,79,3365,1475,2261,2.29,97.71,42.83,65.65
06075026402,"Census Tract 264.02, San Francisco County, California",ACSSF,ca,140,0,10032,6,75,26402,14000US06075026402,Census Tract 264.02,,5040,203,4837,1581,3605,4.03,95.97,31.37,71.53
06075026403,"Census Tract 264.03, San Francisco County, California",ACSSF,ca,140,0,10033,6,75,26403,14000US06075026403,Census Tract 264.03,,3755,127,3628,1690,2504,3.38,96.62,45.01,66.68
06075026404,"Census Tract 264.04, San Francisco County, California",ACSSF,ca,140,0,10034,6,75,26404,14000US06075026404,Census Tract 264.04,,2760,160,2600,1067,1724,5.8,94.2,38.66,62.46
06075030101,"Census Tract 301.01, San Francisco County, California",ACSSF,ca,140,0,10035,6,75,30101,14000US06075030101,Census Tract 301.01,,5062,38,5024,1021,4396,0.75,99.25,20.17,86.84
06075030102,"Census Tract 301.02, San Francisco County, California",ACSSF,ca,140,0,10036,6,75,30102,14000US06075030102,Census Tract 301.02,,4731,106,4625,904,4291,2.24,97.76,19.11,90.7
06075030201,"Census Tract 302.01, San Francisco County, California",ACSSF,ca,140,0,10037,6,75,30201,14000US06075030201,Census Tract 302.01,,4262,103,4159,1386,3088,2.42,97.58,32.52,72.45
06075030202,"Census Tract 302.02, San Francisco County, California",ACSSF,ca,140,0,10038,6,75,30202,14000US06075030202,Census Tract 302.02,,4013,19,3994,1095,3285,0.47,99.53,27.29,81.86
06075030301,"Census Tract 303.01, San Francisco County, California",ACSSF,ca,140,0,10039,6,75,30301,14000US06075030301,Census Tract 303.01,,6024,203,5821,1363,5040,3.37,96.63,22.63,83.67
06075030302,"Census Tract 303.02, San Francisco County, California",ACSSF,ca,140,0,10040,6,75,30302,14000US06075030302,Census Tract 303.02,,3928,62,3866,1083,3334,1.58,98.42,27.57,84.88
06075030400,"Census Tract 304, San Francisco County, California",ACSSF,ca,140,0,10041,6,75,30400,14000US06075030400,Census Tract 304,,5088,26,5062,1395,4517,0.51,99.49,27.42,88.78
06075030500,"Census Tract 305, San Francisco County, California",ACSSF,ca,140,0,10042,6,75,30500,14000US06075030500,Census Tract 305,,2770,140,2630,691,2351,5.05,94.95,24.95,84.87
06075030600,"Census Tract 306, San Francisco County, California",ACSSF,ca,140,0,10043,6,75,30600,14000US06075030600,Census Tract 306,,2514,42,2472,580,2277,1.67,98.33,23.07,90.57
06075030700,"Census Tract 307, San Francisco County, California",ACSSF,ca,140,0,10044,6,75,30700,14000US06075030700,Census Tract 307,,6959,50,6909,2073,6142,0.72,99.28,29.79,88.26
06075030800,"Census Tract 308, San Francisco County, California",ACSSF,ca,140,0,10045,6,75,30800,14000US06075030800,Census Tract 308,,6010,114,5896,1524,5314,1.9,98.1,25.36,88.42
06075030900,"Census Tract 309, San Francisco County, California",ACSSF,ca,140,0,10046,6,75,30900,14000US06075030900,Census Tract 309,,6762,72,6690,1874,5714,1.06,98.94,27.71,84.5
06075031000,"Census Tract 310, San Francisco County, California",ACSSF,ca,140,0,10047,6,75,31000,14000US06075031000,Census Tract 310,,4089,82,4007,1297,3232,2.01,97.99,31.72,79.04
06075031100,"Census Tract 311, San Francisco County, California",ACSSF,ca,140,0,10048,6,75,31100,14000US06075031100,Census Tract 311,,6295,117,6178,1535,5279,1.86,98.14,24.38,83.86
06075031201,"Census Tract 312.01, San Francisco County, California",ACSSF,ca,140,0,10049,6,75,31201,14000US06075031201,Census Tract 312.01,,6494,302,6192,2923,3696,4.65,95.35,45.01,56.91
06075031202,"Census Tract 312.02, San Francisco County, California",ACSSF,ca,140,0,10050,6,75,31202,14000US06075031202,Census Tract 312.02,,3239,220,3019,904,2376,6.79,93.21,27.91,73.36
06075031301,"Census Tract 313.01, San Francisco County, California",ACSSF,ca,140,0,10051,6,75,31301,14000US06075031301,Census Tract 313.01,,3857,0,3857,1841,2852,0,100,47.73,73.94
06075031302,"Census Tract 313.02, San Francisco County, California",ACSSF,ca,140,0,10052,6,75,31302,14000US06075031302,Census Tract 313.02,,5503,371,5132,1620,3968,6.74,93.26,29.44,72.11
06075031401,"Census Tract 314.01, San Francisco County, California",ACSSF,ca,140,0,10053,6,75,31401,14000US06075031401,Census Tract 314.01,,2378,140,2238,1030,1495,5.89,94.11,43.31,62.87
06075031402,"Census Tract 314.02, San Francisco County, California",ACSSF,ca,140,0,10054,6,75,31402,14000US06075031402,Census Tract 314.02,,4781,156,4625,1208,3861,3.26,96.74,25.27,80.76
06075032601,"Census Tract 326.01, San Francisco County, California",ACSSF,ca,140,0,10055,6,75,32601,14000US06075032601,Census Tract 326.01,,4874,87,4787,1958,3735,1.78,98.22,40.17,76.63
06075032602,"Census Tract 326.02, San Francisco County, California",ACSSF,ca,140,0,10056,6,75,32602,14000US06075032602,Census Tract 326.02,,4505,193,4312,1088,3622,4.28,95.72,24.15,80.4
06075032700,"Census Tract 327, San Francisco County, California",ACSSF,ca,140,0,10057,6,75,32700,14000US06075032700,Census Tract 327,,6932,124,6808,1865,5730,1.79,98.21,26.9,82.66
06075032801,"Census Tract 328.01, San Francisco County, California",ACSSF,ca,140,0,10058,6,75,32801,14000US06075032801,Census Tract 328.01,,3920,109,3811,1337,2843,2.78,97.22,34.11,72.53
06075032802,"Census Tract 328.02, San Francisco County, California",ACSSF,ca,140,0,10059,6,75,32802,14000US06075032802,Census Tract 328.02,,4624,290,4334,1375,3662,6.27,93.73,29.74,79.2
06075032901,"Census Tract 329.01, San Francisco County, California",ACSSF,ca,140,0,10060,6,75,32901,14000US06075032901,Census Tract 329.01,,5341,149,5192,1353,4351,2.79,97.21,25.33,81.46
06075032902,"Census Tract 329.02, San Francisco County, California",ACSSF,ca,140,0,10061,6,75,32902,14000US06075032902,Census Tract 329.02,,4103,59,4044,1709,2925,1.44,98.56,41.65,71.29
06075033001,"Census Tract 330.01, San Francisco County, California",ACSSF,ca,140,0,10062,6,75,33001,14000US06075033001,Census Tract 330.01,,4183,164,4019,1379,3410,3.92,96.08,32.97,81.52
06075033002,"Census Tract 330.02, San Francisco County, California",ACSSF,ca,140,0,10063,6,75,33002,14000US06075033002,Census Tract 330.02,,4208,43,4165,1186,3381,1.02,98.98,28.18,80.35
06075033100,"Census Tract 331, San Francisco County, California",ACSSF,ca,140,0,10064,6,75,33100,14000US06075033100,Census Tract 331,,3929,96,3833,1120,3132,2.44,97.56,28.51,79.71
06075033201,"Census Tract 332.01, San Francisco County, California",ACSSF,ca,140,0,10065,6,75,33201,14000US06075033201,Census Tract 332.01,,4262,221,4041,872,3315,5.19,94.81,20.46,77.78
06075033203,"Census Tract 332.03, San Francisco County, California",ACSSF,ca,140,0,10066,6,75,33203,14000US06075033203,Census Tract 332.03,,3320,123,3197,821,2703,3.7,96.3,24.73,81.42
06075033204,"Census Tract 332.04, San Francisco County, California",ACSSF,ca,140,0,10067,6,75,33204,14000US06075033204,Census Tract 332.04,,4402,393,4009,1601,3032,8.93,91.07,36.37,68.88
06075035101,"Census Tract 351.01, San Francisco County, California",ACSSF,ca,140,0,10068,6,75,35101,14000US06075035101,Census Tract 351.01,,4035,69,3966,1550,2920,1.71,98.29,38.41,72.37
06075035102,"Census Tract 351.02, San Francisco County, California",ACSSF,ca,140,0,10069,6,75,35102,14000US06075035102,Census Tract 351.02,,4734,118,4616,1392,3819,2.49,97.51,29.4,80.67
06075035201,"Census Tract 352.01, San Francisco County, California",ACSSF,ca,140,0,10070,6,75,35201,14000US06075035201,Census Tract 352.01,,5497,388,5109,1648,4174,7.06,92.94,29.98,75.93
06075035202,"Census Tract 352.02, San Francisco County, California",ACSSF,ca,140,0,10071,6,75,35202,14000US06075035202,Census Tract 352.02,,4791,226,4565,1508,3506,4.72,95.28,31.48,73.18
06075035300,"Census Tract 353, San Francisco County, California",ACSSF,ca,140,0,10072,6,75,35300,14000US06075035300,Census Tract 353,,7537,134,7403,1875,6181,1.78,98.22,24.88,82.01
06075035400,"Census Tract 354, San Francisco County, California",ACSSF,ca,140,0,10073,6,75,35400,14000US06075035400,Census Tract 354,,7769,436,7333,2320,6087,5.61,94.39,29.86,78.35
06075040100,"Census Tract 401, San Francisco County, California",ACSSF,ca,140,0,10074,6,75,40100,14000US06075040100,Census Tract 401,,4302,174,4128,750,3724,4.04,95.96,17.43,86.56
06075040200,"Census Tract 402, San Francisco County, California",ACSSF,ca,140,0,10075,6,75,40200,14000US06075040200,Census Tract 402,,5460,44,5416,1300,4646,0.81,99.19,23.81,85.09
06075042601,"Census Tract 426.01, San Francisco County, California",ACSSF,ca,140,0,10076,6,75,42601,14000US06075042601,Census Tract 426.01,,4261,307,3954,1094,3265,7.2,92.8,25.67,76.63
06075042602,"Census Tract 426.02, San Francisco County, California",ACSSF,ca,140,0,10077,6,75,42602,14000US06075042602,Census Tract 426.02,,2615,43,2572,632,2397,1.64,98.36,24.17,91.66
06075042700,"Census Tract 427, San Francisco County, California",ACSSF,ca,140,0,10078,6,75,42700,14000US06075042700,Census Tract 427,,5361,220,5141,1974,4090,4.1,95.9,36.82,76.29
06075042800,"Census Tract 428, San Francisco County, California",ACSSF,ca,140,0,10079,6,75,42800,14000US06075042800,Census Tract 428,,2501,4,2497,786,2229,0.16,99.84,31.43,89.12
06075045100,"Census Tract 451, San Francisco County, California",ACSSF,ca,140,0,10080,6,75,45100,14000US06075045100,Census Tract 451,,5209,173,5036,857,4571,3.32,96.68,16.45,87.75
06075045201,"Census Tract 452.01, San Francisco County, California",ACSSF,ca,140,0,10081,6,75,45201,14000US06075045201,Census Tract 452.01,,3349,0,3349,829,3005,0,100,24.75,89.73
06075045202,"Census Tract 452.02, San Francisco County, California",ACSSF,ca,140,0,10082,6,75,45202,14000US06075045202,Census Tract 452.02,,3396,194,3202,712,2796,5.71,94.29,20.97,82.33
06075047600,"Census Tract 476, San Francisco County, California",ACSSF,ca,140,0,10083,6,75,47600,14000US06075047600,Census Tract 476,,5145,38,5107,1026,4540,0.74,99.26,19.94,88.24
06075047701,"Census Tract 477.01, San Francisco County, California",ACSSF,ca,140,0,10084,6,75,47701,14000US06075047701,Census Tract 477.01,,4978,134,4844,923,4209,2.69,97.31,18.54,84.55
06075047702,"Census Tract 477.02, San Francisco County, California",ACSSF,ca,140,0,10085,6,75,47702,14000US06075047702,Census Tract 477.02,,3541,138,3403,1095,2806,3.9,96.1,30.92,79.24
06075047801,"Census Tract 478.01, San Francisco County, California",ACSSF,ca,140,0,10086,6,75,47801,14000US06075047801,Census Tract 478.01,,4543,155,4388,1117,3808,3.41,96.59,24.59,83.82
06075047802,"Census Tract 478.02, San Francisco County, California",ACSSF,ca,140,0,10087,6,75,47802,14000US06075047802,Census Tract 478.02,,3776,91,3685,1402,2853,2.41,97.59,37.13,75.56
06075047902,"Census Tract 479.02, San Francisco County, California",ACSSF,ca,140,0,10088,6,75,47902,14000US06075047902,Census Tract 479.02,,3610,61,3549,1263,2893,1.69,98.31,34.99,80.14
06075047903,"Census Tract 479.03, San Francisco County, California",ACSSF,ca,140,0,10089,6,75,47903,14000US06075047903,Census Tract 479.03,,4283,35,4248,1256,3557,0.82,99.18,29.33,83.05
06075047904,"Census Tract 479.04, San Francisco County, California",ACSSF,ca,140,0,10090,6,75,47904,14000US06075047904,Census Tract 479.04,,3105,85,3020,972,2456,2.74,97.26,31.3,79.1
06075060100,"Census Tract 601, San Francisco County, California",ACSSF,ca,140,0,10091,6,75,60100,14000US06075060100,Census Tract 601,,4231,74,4157,679,3614,1.75,98.25,16.05,85.42
06075060400,"Census Tract 604, San Francisco County, California",ACSSF,ca,140,0,10092,6,75,60400,14000US06075060400,Census Tract 604,,1595,17,1578,680,1146,1.07,98.93,42.63,71.85
06075060502,"Census Tract 605.02, San Francisco County, California",ACSSF,ca,140,0,10093,6,75,60502,14000US06075060502,Census Tract 605.02,,3539,143,3396,2308,1438,4.04,95.96,65.22,40.63
06075060701,"Census Tract 607.01, San Francisco County, California",ACSSF,ca,140,0,10094,6,75,60701,14000US06075060701,Census Tract 607.01,,7621,248,7373,2067,5521,3.25,96.75,27.12,72.44
06075060702,"Census Tract 607.02, San Francisco County, California",ACSSF,ca,140,0,10095,6,75,60702,14000US06075060702,Census Tract 607.02,,1488,0,1488,411,1077,0,100,27.62,72.38
06075060703,"Census Tract 607.03, San Francisco County, California",ACSSF,ca,140,0,10096,6,75,60703,14000US06075060703,Census Tract 607.03,,5787,62,5725,1222,4570,1.07,98.93,21.12,78.97
06075061000,"Census Tract 610, San Francisco County, California",ACSSF,ca,140,0,10097,6,75,61000,14000US06075061000,Census Tract 610,,4825,191,4634,1620,3472,3.96,96.04,33.58,71.96
06075061101,"Census Tract 611.01, San Francisco County, California",ACSSF,ca,140,0,10098,6,75,61101,14000US06075061101,Census Tract 611.01,,1856,148,1708,1242,599,7.97,92.03,66.92,32.27
06075061102,"Census Tract 611.02, San Francisco County, California",ACSSF,ca,140,0,10099,6,75,61102,14000US06075061102,Census Tract 611.02,,2341,157,2184,1679,702,6.71,93.29,71.72,29.99
06075061200,"Census Tract 612, San Francisco County, California",ACSSF,ca,140,0,10100,6,75,61200,14000US06075061200,Census Tract 612,,3947,92,3855,1681,2466,2.33,97.67,42.59,62.48
06075061401,"Census Tract 614.01, San Francisco County, California",ACSSF,ca,140,0,10101,6,75,61401,14000US06075061401,Census Tract 614.01,,3199,177,3022,819,2504,5.53,94.47,25.6,78.27
06075061402,"Census Tract 614.02, San Francisco County, California",ACSSF,ca,140,0,10102,6,75,61402,14000US06075061402,Census Tract 614.02,,2537,0,2537,504,2180,0,100,19.87,85.93
06075061501,"Census Tract 615.01, San Francisco County, California",ACSSF,ca,140,0,10103,6,75,61501,14000US06075061501,Census Tract 615.01,,1837,5,1832,192,1712,0.27,99.73,10.45,93.2
06075061502,"Census Tract 615.02, San Francisco County, California",ACSSF,ca,140,0,10104,6,75,61502,14000US06075061502,Census Tract 615.02,,1774,104,1670,592,1243,5.86,94.14,33.37,70.07
06075061503,"Census Tract 615.03, San Francisco County, California",ACSSF,ca,140,0,10105,6,75,61503,14000US06075061503,Census Tract 615.03,,3400,221,3179,691,2566,6.5,93.5,20.32,75.47
06075061504,"Census Tract 615.04, San Francisco County, California",ACSSF,ca,140,0,10106,6,75,61504,14000US06075061504,Census Tract 615.04,,1443,0,1443,12,1431,0,100,0.83,99.17
06075061505,"Census Tract 615.05, San Francisco County, California",ACSSF,ca,140,0,10107,6,75,61505,14000US06075061505,Census Tract 615.05,,776,0,776,130,646,0,100,16.75,83.25
06075061506,"Census Tract 615.06, San Francisco County, California",ACSSF,ca,140,0,10108,6,75,61506,14000US06075061506,Census Tract 615.06,,4422,161,4261,290,4025,3.64,96.36,6.56,91.02
06075061507,"Census Tract 615.07, San Francisco County, California",ACSSF,ca,140,0,10109,6,75,61507,14000US06075061507,Census Tract 615.07,,1940,0,1940,847,1201,0,100,43.66,61.91
06075061508,"Census Tract 615.08, San Francisco County, California",ACSSF,ca,140,0,10110,6,75,61508,14000US06075061508,Census Tract 615.08,,2006,63,1943,524,1661,3.14,96.86,26.12,82.8
06075980200,"Census Tract 9802, San Francisco County, California",ACSSF,ca,140,0,10111,6,75,980200,14000US06075980200,Census Tract 9802,,0,0,0,0,0,,,,
06075980300,"Census Tract 9803, San Francisco County, California",ACSSF,ca,140,0,10112,6,75,980300,14000US06075980300,Census Tract 9803,,25,0,25,10,20,0,100,40,80
06075980401,"Census Tract 9804.01, San Francisco County, California",ACSSF,ca,140,0,10113,6,75,980401,14000US06075980401,Census Tract 9804.01,,0,0,0,0,0,,,,
06075980501,"Census Tract 9805.01, San Francisco County, California",ACSSF,ca,140,0,10114,6,75,980501,14000US06075980501,Census Tract 9805.01,,104,0,104,104,0,0,100,100,0
06075980600,"Census Tract 9806, San Francisco County, California",ACSSF,ca,140,0,10115,6,75,980600,14000US06075980600,Census Tract 9806,,966,53,913,295,643,5.49,94.51,30.54,66.56
06075980900,"Census Tract 9809, San Francisco County, California",ACSSF,ca,140,0,10116,6,75,980900,14000US06075980900,Census Tract 9809,,296,15,281,77,204,5.07,94.93,26.01,68.92
06075990100,"Census Tract 9901, San Francisco County, California",ACSSF,ca,140,0,10117,6,75,990100,14000US06075990100,Census Tract 9901,,0,0,0,0,0,,,,
06075990200,"Census Tract 9902, San Francisco County, California",ACSSF,ca,140,0,10118,6,75,990200,14000US06075990200,Census Tract 9902,,0,0,0,0,0,,,,
