FIPS,Geo_QName,Geo_FILEID,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_GEOID,Geo_NAME,Geo_BTTR,Median Household Income
06075013001,"Census Tract 130.01, San Francisco County, California",ACSSF,140,0,9921,06,075,13001,14000US06075013001,Census Tract 130.01,,170250
06075013002,"Census Tract 130.02, San Francisco County, California",ACSSF,140,0,9922,06,075,13002,14000US06075013002,Census Tract 130.02,,192742
06075013101,"Census Tract 131.01, San Francisco County, California",ACSSF,140,0,9923,06,075,13101,14000US06075013101,Census Tract 131.01,,211765
06075013102,"Census Tract 131.02, San Francisco County, California",ACSSF,140,0,9924,06,075,13102,14000US06075013102,Census Tract 131.02,,224125
06075013200,"Census Tract 132, San Francisco County, California",ACSSF,140,0,9925,06,075,13200,14000US06075013200,Census Tract 132,,199412
06075013300,"Census Tract 133, San Francisco County, California",ACSSF,140,0,9926,06,075,13300,14000US06075013300,Census Tract 133,,169392
06075013401,"Census Tract 134.01, San Francisco County, California",ACSSF,140,0,9927,06,075,13401,14000US06075013401,Census Tract 134.01,,183562
06075013402,"Census Tract 134.02, San Francisco County, California",ACSSF,140,0,9928,06,075,13402,14000US06075013402,Census Tract 134.02,,175188
06075013500,"Census Tract 135, San Francisco County, California",ACSSF,140,0,9929,06,075,13500,14000US06075013500,Census Tract 135,,157344
06075015100,"Census Tract 151, San Francisco County, California",ACSSF,140,0,9930,06,075,15100,14000US06075015100,Census Tract 151,,135859
06075015201,"Census Tract 152.01, San Francisco County, California",ACSSF,140,0,9931,06,075,15201,14000US06075015201,Census Tract 152.01,,74080
06075015202,"Census Tract 152.02, San Francisco County, California",ACSSF,140,0,9932,06,075,15202,14000US06075015202,Census Tract 152.02,,142098
06075015300,"Census Tract 153, San Francisco County, California",ACSSF,140,0,9933,06,075,15300,14000US06075015300,Census Tract 153,,163286
06075015401,"Census Tract 154.01, San Francisco County, California",ACSSF,140,0,9934,06,075,15401,14000US06075015401,Census Tract 154.01,,121250
06075015402,"Census Tract 154.02, San Francisco County, California",ACSSF,140,0,9935,06,075,15402,14000US06075015402,Census Tract 154.02,,195078
06075015500,"Census Tract 155, San Francisco County, California",ACSSF,140,0,9936,06,075,15500,14000US06075015500,Census Tract 155,,90938
06075015600,"Census Tract 156, San Francisco County, California",ACSSF,140,0,9937,06,075,15600,14000US06075015600,Census Tract 156,,78750
06075015701,"Census Tract 157.01, San Francisco County, California",ACSSF,140,0,9938,06,075,15701,14000US06075015701,Census Tract 157.01,,126754
