FIPS,Total Population,ZIP,Longitude,Latitude,Asthma,Asthma Pctl
06075022801,5769,94110,-122.4125093,37.7607261,64.8,74.21
06075061100,4477,94111,-122.4040647,37.7955998,18.72,7.51
06075012302,2713,94102,-122.412097,37.7870223,49.09,55.48
06075022903,3240,94110,-122.4062364,37.7517621,63.33,72.62
06075011700,1790,94108,-122.4034859,37.7904674,49.93,56.47
06075012202,3181,94109,-122.4196438,37.7854142,40.8,42.76
06075011800,1570,94108,-122.4061645,37.7933506,27.6,21.14
06075020800,6458,94110,-122.4191487,37.7594331,63.3,72.61
06075031201,6690,94112,-122.4573334,37.7217805,52.42,59.32
06075010600,3429,94133,-122.4063879,37.7993784,33.54,31.23
06075022902,2483,94110,-122.4103784,37.7513411,64.8,74.21
06075012201,4620,94109,-122.4163535,37.7858464,40.8,42.76
06075016802,3622,94102,-122.4249293,37.7735403,67.28,76.50
06075026001,5986,94112,-122.4322434,37.7235502,53.52,60.77
06075031302,6109,94132,-122.467097,37.7133955,31.05,26.86
06075010100,3889,94133,-122.4085794,37.8084198,31.18,27.13
06075025100,3473,94110,-122.4076735,37.7439369,64.8,74.21
06075033201,4551,94132,-122.4796588,37.726265,38.07,38.12
06075060700,13222,94158,-122.3906714,37.7723808,25.08,16.63
06075026200,7903,94112,-122.4539535,37.7113172,46.58,51.38
06075047701,4569,94121,-122.4840627,37.7782506,30.08,25.22
06075015801,3837,94115,-122.4373557,37.7813029,46.9,51.86
06075042700,5379,94121,-122.4881473,37.7822651,30.08,25.22
06075012100,3859,94102,-122.4118881,37.7888066,37.88,37.70
06075022803,5224,94110,-122.4120842,37.7558368,64.8,74.21
06075031202,3394,94112,-122.4523964,37.7193276,53.52,60.77
06075047902,3632,94121,-122.5039633,37.7791834,30.08,25.22
06075025900,4618,94134,-122.4105033,37.7234533,67.98,77.18
06075026004,4649,94112,-122.4357008,37.7178905,53.52,60.77
06075016100,5340,94115,-122.4286631,37.7799831,45.63,49.79
06075031301,4241,94132,-122.4678672,37.7193263,26.16,18.62
06075060502,3511,94134,-122.4199075,37.7109991,61.12,70.38
06075025402,3427,94110,-122.412786,37.7368829,64.8,74.21
06075016000,2562,94102,-122.4224838,37.7823363,70.4,78.73
06075011100,4835,94109,-122.419076,37.7907445,40.8,42.76
06075026301,5083,94112,-122.439533,37.7138685,53.52,60.77
06075033203,3956,94132,-122.4782503,37.7159256,38.07,38.12
06075025403,4782,94110,-122.4205619,37.7337691,37.36,37.03
06075010800,5038,94133,-122.4142914,37.7964984,22.25,12.20
06075011200,3329,94108,-122.4127333,37.7929713,23.63,14.10
06075033100,3895,94132,-122.4872238,37.7321973,38.07,38.12
06075016200,3278,94102,-122.4228856,37.777158,108.9,94.70
06075025600,5314,94134,-122.4224279,37.7287139,49.17,55.56
06075047802,3869,94121,-122.497393,37.779204,30.08,25.22
06075060400,1596,94132,-122.4911286,37.7223022,37.99,37.94
06075020700,4793,94110,-122.4235588,37.759168,64.8,74.21
06075010500,2779,94111,-122.3990586,37.8026841,50.74,57.58
06075047801,4421,94121,-122.4921143,37.7758371,30.08,25.22
06075047702,3927,94121,-122.4837889,37.7744602,30.08,25.22
06075032802,4432,94122,-122.4812305,37.7530955,18.24,6.83
06075025200,5256,94110,-122.4142164,37.7437089,64.8,74.21
06075032801,4401,94116,-122.4804177,37.7460215,27.46,20.92
06075011901,2699,94108,-122.4139142,37.7904728,34.53,32.60
06075045200,7286,94118,-122.467999,37.7771137,21.5,11.02
06075033000,8127,94116,-122.4834271,37.7381567,27.66,21.29
06075042601,4004,94121,-122.4811913,37.7831165,30.08,25.22
06075061500,16968,94105,-122.3923886,37.7877258,27.78,21.44
06075015200,4277,94115,-122.4302666,37.7879139,38.35,38.56
06075025401,3775,94110,-122.4224695,37.7396295,55.45,63.32
06075011000,5127,94109,-122.4198054,37.7943823,40.8,42.76
06075040200,5600,94118,-122.4683889,37.7843252,19.58,8.75
06075047901,7589,94121,-122.5098633,37.7824907,30.08,25.22
06075032602,4753,94122,-122.4825954,37.7589003,23.78,14.38
06075025300,4454,94110,-122.4201527,37.7437059,64.8,74.21
06075035300,7487,94116,-122.4978433,37.7425001,29.44,23.99
06075010300,4359,94133,-122.4156811,37.8016201,29.95,24.81
06075016300,4658,94102,-122.4295509,37.7760456,48.45,54.22
06075026003,5126,94112,-122.4287994,37.7196247,49.01,55.23
06075026302,5255,94112,-122.4307918,37.7116589,38.56,39.01
06075015900,4832,94115,-122.4293428,37.78334,33.14,30.65
06075022600,3213,94107,-122.3835595,37.762479,33,30.43
06075015300,2289,94115,-122.4393346,37.7867618,54.75,62.67
06075022704,3367,94107,-122.4019893,37.7609519,42.11,44.83
06075010400,4536,94133,-122.4075581,37.8022725,31.45,27.59
06075022702,2298,94107,-122.3956056,37.7625436,44.95,48.67
06075035400,7342,94116,-122.5072276,37.7421024,29.51,24.14
06075015500,3551,94115,-122.434135,37.7850923,37.86,37.66
06075042800,2507,94121,-122.4885865,37.7880433,25.48,17.40
06075011902,2712,94108,-122.4098067,37.7909959,24.61,15.69
06075026303,4822,94112,-122.4434663,37.7096646,38.19,38.32
06075016500,5267,94117,-122.4477884,37.7741958,41.46,43.86
06075026002,3644,94112,-122.4262823,37.7261197,44.01,47.62
06075035202,5244,94122,-122.5061466,37.7613974,18.89,7.69
06075032601,5211,94122,-122.4807924,37.7624848,22.76,12.87
06075047600,5670,94118,-122.475543,37.7767698,20.9,10.21
06075035201,5704,94122,-122.5104339,37.7566148,18.68,7.45
06075015700,8904,94118,-122.4480069,37.7789154,24.11,14.97
06075045100,5126,94118,-122.4613476,37.777583,21.5,11.02
06075032902,4457,94122,-122.4906443,37.7526805,18.17,6.78
06075030201,4529,94122,-122.4737784,37.7628146,23.78,14.38
06075040100,4560,94118,-122.4618142,37.7851543,19.73,8.94
06075042602,2861,94118,-122.4754787,37.7833793,18.67,7.43
06075021000,4523,94110,-122.422849,37.7515789,61.18,70.41
06075013300,4634,94118,-122.4524293,37.7887307,19.91,9.22
06075016900,3254,94114,-122.4324782,37.7670961,24.92,16.35
06075016600,5691,94117,-122.4474539,37.7704942,46.92,51.93
06075030900,7103,94127,-122.4682602,37.7283108,29.4,23.93
06075015100,2624,94109,-122.4234011,37.7874457,40.8,42.76
06075013500,2606,94115,-122.4325551,37.7908976,54.75,62.67
06075010900,4486,94109,-122.4205531,37.7980418,33.24,30.75
06075015600,3506,94118,-122.4564254,37.7782427,21.25,10.73
06075015400,5951,94118,-122.4510358,37.7843608,27.81,21.46
06075013101,4061,94109,-122.4247493,37.7937758,25.06,16.59
06075032700,6898,94122,-122.4911676,37.760167,23.78,14.38
06075013400,3742,94115,-122.440799,37.789849,54.75,62.67
06075032901,5615,94116,-122.4901861,37.7461534,29.51,24.14
06075010200,4167,94109,-122.4229252,37.8058607,31.42,27.57
06075030101,5048,94122,-122.4597306,37.7642357,29.4,23.93
06075016700,5376,94117,-122.4377358,37.7703481,39.84,41.34
06075016801,4145,94117,-122.4290086,37.7713294,34.92,33.28
06075012700,4092,94123,-122.4447181,37.8049898,15.19,4.01
06075013200,4292,94115,-122.4387455,37.7936676,29.57,24.34
06075035100,9116,94122,-122.4991499,37.7576269,21.71,11.30
06075031000,3804,94112,-122.4571587,37.7286172,34.72,32.90
06075030301,5914,94122,-122.4692415,37.7569429,19.94,9.26
06075031100,6437,94112,-122.4461642,37.7296356,27.94,21.67
06075030202,4438,94122,-122.4673274,37.7630839,23.71,14.23
